Vivado Simulator 2018.2
Time resolution is 1 ps
clk = 0, U=1, V= 0,W =          0, X =  104858259, Y =          0, Z=        100
clk = 1, U=1, V= 0,W =          4, X =      33043, Y =          0, Z=          0
clk = 0, U=1, V= 0,W =          4, X =      33043, Y =          0, Z=          0
clk = 1, U=1, V= 0,W =          8, X =    1114515, Y =          0, Z=          1
clk = 0, U=1, V= 0,W =          8, X =    1114515, Y =          0, Z=          1
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =          0, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =          0, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =          0, Z=          0
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =          0, Z=          0
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =          0, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =          0, Z= 4294967280
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =          0, Z=          1
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =          0, Z=          1
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =          0, Z=          1
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =          0, Z=          1
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =          0, Z=          0
clk = 0, U=1, V= 1,W =         32, X = 1076953395, Y =          0, Z=          0
clk = 1, U=1, V= 0,W =         36, X = 4271895407, Y =          0, Z= 4294967272
clk = 0, U=1, V= 0,W =         36, X = 4271895407, Y =          0, Z= 4294967272
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =          0, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =          0, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =          1, Z=          1
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =          1, Z=          1
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =          1, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =          1, Z= 4294967280
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =          1, Z=          1
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =          1, Z=          1
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =          1, Z=          1
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =          1, Z=          1
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =          1, Z=          1
clk = 0, U=1, V= 1,W =         32, X = 1076953395, Y =          1, Z=          1
clk = 1, U=1, V= 0,W =         36, X = 4271895407, Y =          1, Z= 4294967272
clk = 0, U=1, V= 0,W =         36, X = 4271895407, Y =          1, Z= 4294967272
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =          1, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =          1, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =          1, Z=          1
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =          1, Z=          1
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =          1, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =          1, Z= 4294967280
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =          1, Z=          2
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =          1, Z=          2
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =          1, Z=          2
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =          1, Z=          2
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =          1, Z=          1
clk = 0, U=1, V= 1,W =         32, X = 1076953395, Y =          1, Z=          1
clk = 1, U=1, V= 0,W =         36, X = 4271895407, Y =          1, Z= 4294967272
clk = 0, U=1, V= 0,W =         36, X = 4271895407, Y =          1, Z= 4294967272
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =          1, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =          1, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =          2, Z=          2
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =          2, Z=          2
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =          2, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =          2, Z= 4294967280
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =          2, Z=          3
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =          2, Z=          3
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =          2, Z=          3
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =          2, Z=          3
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =          2, Z=          2
